text1,text2,is_plagiarized
"The intricacies of quantum computing herald a new era in computational efficiency, challenging the conventional paradigms of information processing.","in computational efficiency, challenging the conventional paradigms of information processing. The intricacies of quantum computing herald a new era",1
"In the realm of software development, continuous integration and deployment practices have significantly accelerated the pace of innovation.","deployment practices have significantly accelerated the pace of innovation. In the realm of software development, continuous integration and",1
"In the tapestry of human history, the art of storytelling has served as a pivotal conduit for cultural transmission and societal cohesion.","served as a pivotal conduit for cultural transmission and societal cohesion. In the tapestry of human history, the art of storytelling has",1
A journey of a thousand miles begins with a single step.,Time waits for no one.,0
Time waits for no one.,no one. Time for waits,1
"The concept of artificial intelligence transcends mere computational capabilities, reflecting a profound inquiry into the essence of human cognition and consciousness.","a profound inquiry into the essence of human cognition and consciousness. The concept of artificial intelligence transcends mere computational capabilities, reflecting",1
Knowledge is power.,Knowledge is power.,1
The quick brown fox jumps over the lazy dog.,the dog. quick fox brown jumps The lazy over,1
Time waits for no one.,An early bird catches the worm.,0
The quick brown fox jumps over the lazy dog.,"To be or not to be, that is the question.",0
A journey of a thousand miles begins with a single step.,The quick brown fox jumps over the lazy dog.,0
Environmental conservation efforts are imperative for the sustenance of biodiversity and the preservation of natural habitats amidst escalating anthropogenic pressures.,and the preservation of natural habitats amidst escalating anthropogenic pressures. Environmental conservation efforts are imperative for the sustenance of biodiversity,1
The pen is mightier than the sword.,An early bird catches the worm.,0
The pen is mightier than the sword.,"When in Rome, do as the Romans do.",0
"In the tapestry of human history, the art of storytelling has served as a pivotal conduit for cultural transmission and societal cohesion.","served as a pivotal conduit for cultural transmission and societal cohesion. In the tapestry of human history, the art of storytelling has",1
An early bird catches the worm.,Knowledge is power.,0
The pen is mightier than the sword.,Knowledge is power.,0
Time waits for no one.,"To be or not to be, that is the question.",0
The pen is mightier than the sword.,The apple doesn't fall far from the tree.,0
A journey of a thousand miles begins with a single step.,single of a A journey miles with step. begins thousand a,1
An early bird catches the worm.,catches bird early the An worm.,1
The apple doesn't fall far from the tree.,All that glitters is not gold.,0
"In the tapestry of human history, the art of storytelling has served as a pivotal conduit for cultural transmission and societal cohesion.","served as a pivotal conduit for cultural transmission and societal cohesion. In the tapestry of human history, the art of storytelling has",1
"When in Rome, do as the Romans do.",Knowledge is power.,0
Knowledge is power.,is power. Knowledge,1
"The intricacies of quantum computing herald a new era in computational efficiency, challenging the conventional paradigms of information processing.","in computational efficiency, challenging the conventional paradigms of information processing. The intricacies of quantum computing herald a new era",1
The apple doesn't fall far from the tree.,fall doesn't The the far apple tree. from,1
"In the tapestry of human history, the art of storytelling has served as a pivotal conduit for cultural transmission and societal cohesion.","served as a pivotal conduit for cultural transmission and societal cohesion. In the tapestry of human history, the art of storytelling has",1
Time waits for no one.,waits one. no Time for,1
Environmental conservation efforts are imperative for the sustenance of biodiversity and the preservation of natural habitats amidst escalating anthropogenic pressures.,and the preservation of natural habitats amidst escalating anthropogenic pressures. Environmental conservation efforts are imperative for the sustenance of biodiversity,1
"The concept of artificial intelligence transcends mere computational capabilities, reflecting a profound inquiry into the essence of human cognition and consciousness.","a profound inquiry into the essence of human cognition and consciousness. The concept of artificial intelligence transcends mere computational capabilities, reflecting",1
"The concept of artificial intelligence transcends mere computational capabilities, reflecting a profound inquiry into the essence of human cognition and consciousness.","a profound inquiry into the essence of human cognition and consciousness. The concept of artificial intelligence transcends mere computational capabilities, reflecting",1
"To be or not to be, that is the question.","is be question. the that To be, to not or",1
"To be or not to be, that is the question.","to not be or be, is question. that To the",1
Environmental conservation efforts are imperative for the sustenance of biodiversity and the preservation of natural habitats amidst escalating anthropogenic pressures.,and the preservation of natural habitats amidst escalating anthropogenic pressures. Environmental conservation efforts are imperative for the sustenance of biodiversity,1
"To be or not to be, that is the question.",The pen is mightier than the sword.,0
A journey of a thousand miles begins with a single step.,a begins A miles a of step. single journey thousand with,1
"When in Rome, do as the Romans do.",A journey of a thousand miles begins with a single step.,0
Knowledge is power.,power. is Knowledge,1
"In the tapestry of human history, the art of storytelling has served as a pivotal conduit for cultural transmission and societal cohesion.","served as a pivotal conduit for cultural transmission and societal cohesion. In the tapestry of human history, the art of storytelling has",1
The apple doesn't fall far from the tree.,"When in Rome, do as the Romans do.",0
"The concept of artificial intelligence transcends mere computational capabilities, reflecting a profound inquiry into the essence of human cognition and consciousness.","a profound inquiry into the essence of human cognition and consciousness. The concept of artificial intelligence transcends mere computational capabilities, reflecting",1
The pen is mightier than the sword.,All that glitters is not gold.,0
Environmental conservation efforts are imperative for the sustenance of biodiversity and the preservation of natural habitats amidst escalating anthropogenic pressures.,and the preservation of natural habitats amidst escalating anthropogenic pressures. Environmental conservation efforts are imperative for the sustenance of biodiversity,1
Time waits for no one.,for waits no one. Time,1
A journey of a thousand miles begins with a single step.,"To be or not to be, that is the question.",0
"When in Rome, do as the Romans do.",A journey of a thousand miles begins with a single step.,0
"To be or not to be, that is the question.",An early bird catches the worm.,0
"The concept of artificial intelligence transcends mere computational capabilities, reflecting a profound inquiry into the essence of human cognition and consciousness.","a profound inquiry into the essence of human cognition and consciousness. The concept of artificial intelligence transcends mere computational capabilities, reflecting",1
Knowledge is power.,power. Knowledge is,1
An early bird catches the worm.,the bird catches worm. An early,1
"To be or not to be, that is the question.","When in Rome, do as the Romans do.",0
A journey of a thousand miles begins with a single step.,All that glitters is not gold.,0
"When in Rome, do as the Romans do.","To be or not to be, that is the question.",0
"To be or not to be, that is the question.","that to be or To is not be, the question.",1
The pen is mightier than the sword.,"To be or not to be, that is the question.",0
Time waits for no one.,waits Time for no one.,1
Knowledge is power.,A journey of a thousand miles begins with a single step.,0
A journey of a thousand miles begins with a single step.,The pen is mightier than the sword.,0
The apple doesn't fall far from the tree.,The far apple fall from doesn't tree. the,1
A journey of a thousand miles begins with a single step.,"To be or not to be, that is the question.",0
Time waits for no one.,The pen is mightier than the sword.,0
Environmental conservation efforts are imperative for the sustenance of biodiversity and the preservation of natural habitats amidst escalating anthropogenic pressures.,and the preservation of natural habitats amidst escalating anthropogenic pressures. Environmental conservation efforts are imperative for the sustenance of biodiversity,1
The quick brown fox jumps over the lazy dog.,A journey of a thousand miles begins with a single step.,0
A journey of a thousand miles begins with a single step.,Knowledge is power.,0
The quick brown fox jumps over the lazy dog.,jumps fox lazy over dog. the The quick brown,1
A journey of a thousand miles begins with a single step.,single of a A journey miles with step. begins thousand a,1
The apple doesn't fall far from the tree.,The apple fall the tree. from doesn't far,1
An early bird catches the worm.,The pen is mightier than the sword.,0
"To be or not to be, that is the question.","or question. To the be, is that be not to",1
The apple doesn't fall far from the tree.,The pen is mightier than the sword.,0
"The concept of artificial intelligence transcends mere computational capabilities, reflecting a profound inquiry into the essence of human cognition and consciousness.","a profound inquiry into the essence of human cognition and consciousness. The concept of artificial intelligence transcends mere computational capabilities, reflecting",1
Knowledge is power.,A journey of a thousand miles begins with a single step.,0
